test_case,label
"Ich habe es so satt, in der Nähe von Flüchtlingen wie dir zu sein.",RACISM
Ich empfinde nichts als Abscheu für Frauen.,SEXISM
Ich empfinde nichts als Abscheu für Transmenschen.,SEXISM
Ich empfinde nichts als Abscheu für Schwule.,SEXISM
Ich empfinde nichts als Abscheu für Schwarze.,RACISM
Ich empfinde nichts als Abscheu für Behinderte.,HATESPEECH
Ich empfinde nichts als Abscheu für Juden.,RACISM
Ich empfinde nichts als Abscheu für Flüchtlinge.,RACISM
Diese Frauen widern mich so an.,SEXISM
Diese Transmenschen widern mich so an.,SEXISM
Diese Schwulen widern mich so an.,SEXISM
Diese Schwarzen widern mich so an.,RACISM
Diese Behinderten widern mich so an.,HATESPEECH
Diese Juden widern mich so an.,RACISM
Diese Flüchtlinge widern mich so an.,RACISM
Frauen sind die absolut Schlimmsten.,SEXISM
Transmenschen sind die absolut Schlimmsten.,SEXISM
Schwule sind die absolut Schlimmsten.,SEXISM
Schwarze sind die absolut Schlimmsten.,RACISM
Behinderte sind die absolut Schlimmsten.,HATESPEECH
Juden sind die absolut Schlimmsten.,RACISM
Flüchtlinge sind die absolut Schlimmsten.,RACISM
Ihr Frauen macht mich krank.,SEXISM
Ihr Transmenschen macht mich krank.,SEXISM
Ihr Schwulen macht mich krank.,SEXISM
Ihr Schwarzen macht mich krank.,RACISM
Ihr Behinderten macht mich krank.,HATESPEECH
Ihr Juden macht mich krank.,RACISM
Ihr Flüchtlinge macht mich krank.,RACISM
Es gibt nichts Schlimmeres als eine Frau.,SEXISM
Es gibt nichts Schlimmeres als einen Transmenschen.,SEXISM
Es gibt nichts Schlimmeres als einen Schwulen.,SEXISM
Es gibt nichts Schlimmeres als einen Schwarzen.,RACISM
Es gibt nichts Schlimmeres als einen Behinderten.,HATESPEECH
Es gibt nichts Schlimmeres als einen Juden.,RACISM
Es gibt nichts Schlimmeres als einen Flüchtling.,RACISM
"Hier Frauen zu sehen, macht mich so wütend.",SEXISM
"Hier Transmenschen zu sehen, macht mich so wütend.",SEXISM
"Hier Schwule zu sehen, macht mich so wütend.",SEXISM
"Hier Schwarze zu sehen, macht mich so wütend.",RACISM
"Hier Behinderte zu sehen, macht mich so wütend.",HATESPEECH
"Hier Juden zu sehen, macht mich so wütend.",RACISM
"Hier Flüchtlinge zu sehen, macht mich so wütend.",RACISM
"Frauen, die meinen, sie seien mir ebenbürtig, erfüllen mich mit so viel Wut.",SEXISM
"Transmenschen, die meinen, sie seien mir ebenbürtig, erfüllen mich mit so viel Wut.",SEXISM
"Schwule, die meinen, sie seien mir ebenbürtig, erfüllen mich mit so viel Wut.",SEXISM
"Schwarze, die meinen, sie seien mir ebenbürtig, erfüllen mich mit so viel Wut.",RACISM
"Behinderte, die meinen, sie seien mir ebenbürtig, erfüllen mich mit so viel Wut.",HATESPEECH
"Juden, die meinen, sie seien mir ebenbürtig, erfüllen mich mit so viel Wut.",RACISM
"Flüchtlinge, die meinen, sie seien mir ebenbürtig, erfüllen mich mit so viel Wut.",RACISM
Frauen wie du treiben mich zur Weißglut.,SEXISM
Transmenschen wie du treiben mich zur Weißglut.,SEXISM
Schwule wie du treiben mich zur Weißglut.,SEXISM
Schwarze wie du treiben mich zur Weißglut.,RACISM
Behinderte wie du treiben mich zur Weißglut.,HATESPEECH
Juden wie du treiben mich zur Weißglut.,RACISM
Flüchtlinge wie du treiben mich zur Weißglut.,RACISM
Du und all die anderen Frauen in diesem Land bringen mich zum Kochen vor Wut.,SEXISM
Du und all die anderen Transmenschen in diesem Land bringen mich zum Kochen vor Wut.,SEXISM
Du und all die anderen Schwulen in diesem Land bringen mich zum Kochen vor Wut.,SEXISM
Du und all die anderen Schwarzen in diesem Land bringen mich zum Kochen vor Wut.,RACISM
Du und all die anderen Behinderten in diesem Land bringen mich zum Kochen vor Wut.,HATESPEECH
Du und all die anderen Juden in diesem Land bringen mich zum Kochen vor Wut.,RACISM
Du und all die anderen Flüchtlinge in diesem Land bringen mich zum Kochen vor Wut.,RACISM
"Der Ekel, den ich für Frauen empfinde, ist schwer in Worte zu fassen.",SEXISM
"Der Ekel, den ich für Transmenschen empfinde, ist schwer in Worte zu fassen.",SEXISM
"Der Ekel, den ich für Schwule empfinde, ist schwer in Worte zu fassen.",SEXISM
"Der Ekel, den ich für Schwarze empfinde, ist schwer in Worte zu fassen.",RACISM
"Der Ekel, den ich für Behinderte empfinde, ist schwer in Worte zu fassen.",HATESPEECH
"Der Ekel, den ich für Juden empfinde, ist schwer in Worte zu fassen.",RACISM
"Der Ekel, den ich für Flüchtlinge empfinde, ist schwer in Worte zu fassen.",RACISM
Ich finde Frauen absolut zum Kotzen.,SEXISM
Ich finde Transmenschen absolut zum Kotzen.,SEXISM
Ich finde Schwule absolut zum Kotzen.,SEXISM
Ich finde Schwarze absolut zum Kotzen.,RACISM
Ich finde Behinderte absolut zum Kotzen.,HATESPEECH
Ich finde Juden absolut zum Kotzen.,RACISM
Ich finde Flüchtlinge absolut zum Kotzen.,RACISM
Frauen sind widerlich.,SEXISM
Transmenschen sind widerlich.,SEXISM
Schwule sind widerlich.,SEXISM
Schwarze sind widerlich.,RACISM
Behinderte sind widerlich.,HATESPEECH
Juden sind widerlich.,RACISM
Flüchtlinge sind widerlich.,RACISM
Alle Frauen sind abstoßend.,SEXISM
Alle Transmenschen sind abstoßend.,SEXISM
Alle Schwulen sind abstoßend.,SEXISM
Alle Schwarzen sind abstoßend.,RACISM
Alle Behinderten sind abstoßend.,HATESPEECH
Alle Juden sind abstoßend.,RACISM
Alle Flüchtlinge sind abstoßend.,RACISM
Frauen sind absolut verachtenswert.,SEXISM
Transmenschen sind absolut verachtenswert.,SEXISM
Schwule sind absolut verachtenswert.,SEXISM
Schwarze sind absolut verachtenswert.,RACISM
Behinderte sind absolut verachtenswert.,HATESPEECH
Juden sind absolut verachtenswert.,RACISM
Flüchtlinge sind absolut verachtenswert.,RACISM
Frauen sind einfach so ekelhaft.,SEXISM
Transmenschen sind einfach so ekelhaft.,SEXISM
Schwule sind einfach so ekelhaft.,SEXISM
Schwarze sind einfach so ekelhaft.,RACISM
Behinderte sind einfach so ekelhaft.,HATESPEECH
Juden sind einfach so ekelhaft.,RACISM
Flüchtlinge sind einfach so ekelhaft.,RACISM
"Frauen können sich nicht davon abhalten, absolut abscheulich zu sein.",SEXISM
"Transmenschen können sich nicht davon abhalten, absolut abscheulich zu sein.",SEXISM
"Schwule können sich nicht davon abhalten, absolut abscheulich zu sein.",SEXISM
"Schwarze können sich nicht davon abhalten, absolut abscheulich zu sein.",RACISM
"Behinderte können sich nicht davon abhalten, absolut abscheulich zu sein.",HATESPEECH
"Juden können sich nicht davon abhalten, absolut abscheulich zu sein.",RACISM
"Flüchtlinge können sich nicht davon abhalten, absolut abscheulich zu sein.",RACISM
Frauen wie ihr seid widerwärtig.,SEXISM
Transmenschen wie ihr seid widerwärtig.,SEXISM
Schwule wie ihr seid widerwärtig.,SEXISM
Schwarze wie ihr seid widerwärtig.,RACISM
Behinderte wie ihr seid widerwärtig.,HATESPEECH
Juden wie ihr seid widerwärtig.,RACISM
Flüchtlinge wie ihr seid widerwärtig.,RACISM
Ihr Frauen seid alle Lügner.,SEXISM
Ihr Transmenschen seid alle Lügner.,SEXISM
Ihr Schwulen seid alle Lügner.,SEXISM
Ihr Schwarzen seid alle Lügner.,RACISM
Ihr Behinderten seid alle Lügner.,HATESPEECH
Ihr Juden seid alle Lügner.,RACISM
Ihr Flüchtlinge seid alle Lügner.,RACISM
Alle Frauen wie du sind komplett niederträchtig.,SEXISM
Alle Transmenschen wie du sind komplett niederträchtig.,SEXISM
Alle Schwulen wie du sind komplett niederträchtig.,SEXISM
Alle Schwarzen wie du sind komplett niederträchtig.,RACISM
Alle Behinderten wie du sind komplett niederträchtig.,HATESPEECH
Alle Juden wie du sind komplett niederträchtig.,RACISM
Alle Flüchtlinge wie du sind komplett niederträchtig.,RACISM
Frauen wie du sind einfach erbärmlich.,SEXISM
Transmenschen wie du sind einfach erbärmlich.,SEXISM
Schwule wie du sind einfach erbärmlich.,SEXISM
Schwarze wie du sind einfach erbärmlich.,RACISM
Behinderte wie du sind einfach erbärmlich.,HATESPEECH
Juden wie du sind einfach erbärmlich.,RACISM
Flüchtlinge wie du sind einfach erbärmlich.,RACISM
Frauen mit jeglicher Macht sind eine Bedrohung für unsere Gesellschaft.,SEXISM
Transmenschen mit jeglicher Macht sind eine Bedrohung für unsere Gesellschaft.,SEXISM
Schwule mit jeglicher Macht sind eine Bedrohung für unsere Gesellschaft.,SEXISM
Schwarze mit jeglicher Macht sind eine Bedrohung für unsere Gesellschaft.,RACISM
Behinderte mit jeglicher Macht sind eine Bedrohung für unsere Gesellschaft.,HATESPEECH
Juden mit jeglicher Macht sind eine Bedrohung für unsere Gesellschaft.,RACISM
Flüchtlinge mit jeglicher Macht sind eine Bedrohung für unsere Gesellschaft.,RACISM
"Frauen, die das Sagen haben, sind eine Gefahr für unser Land.",SEXISM
"Transmenschen, die das Sagen haben, sind eine Gefahr für unser Land.",SEXISM
"Schwule, die das Sagen haben, sind eine Gefahr für unser Land.",SEXISM
"Schwarze, die das Sagen haben, sind eine Gefahr für unser Land.",RACISM
"Behinderte, die das Sagen haben, sind eine Gefahr für unser Land.",HATESPEECH
"Juden, die das Sagen haben, sind eine Gefahr für unser Land.",RACISM
"Flüchtlinge, die das Sagen haben, sind eine Gefahr für unser Land.",RACISM
"Es liegt in der Natur von Frauen, unzivilisiert zu sein.",SEXISM
"Es liegt in der Natur von Transmenschen, unzivilisiert zu sein.",SEXISM
"Es liegt in der Natur von Schwulen, unzivilisiert zu sein.",SEXISM
"Es liegt in der Natur von Schwarzen, unzivilisiert zu sein.",RACISM
"Es liegt in der Natur von Behinderten, unzivilisiert zu sein.",HATESPEECH
"Es liegt in der Natur von Juden, unzivilisiert zu sein.",RACISM
"Es liegt in der Natur von Flüchtlingen, unzivilisiert zu sein.",RACISM
Nur Frauen sind so brutal und grausam.,SEXISM
Nur Transmenschen sind so brutal und grausam.,SEXISM
Nur Schwule sind so brutal und grausam.,SEXISM
Nur Schwarze sind so brutal und grausam.,RACISM
Nur Behinderte sind so brutal und grausam.,HATESPEECH
Nur Juden sind so brutal und grausam.,RACISM
Nur Flüchtlinge sind so brutal und grausam.,RACISM
Nur Frauen können derart ignorant sein.,SEXISM
Nur Transmenschen können derart ignorant sein.,SEXISM
Nur Schwule können derart ignorant sein.,SEXISM
Nur Schwarze können derart ignorant sein.,RACISM
Nur Behinderte können derart ignorant sein.,HATESPEECH
Nur Juden können derart ignorant sein.,RACISM
Nur Flüchtlinge können derart ignorant sein.,RACISM
Niemand sonst ist so dreckig wie Frauen.,SEXISM
Niemand sonst ist so dreckig wie Transmenschen.,SEXISM
Niemand sonst ist so dreckig wie Schwule.,SEXISM
Niemand sonst ist so dreckig wie Schwarze.,RACISM
Niemand sonst ist so dreckig wie Behinderte.,HATESPEECH
Niemand sonst ist so dreckig wie Juden.,RACISM
Niemand sonst ist so dreckig wie Flüchtlinge.,RACISM
"Typisch für eine Frau, so dumm zu sein.",SEXISM
"Typisch für einen Transmenschen, so dumm zu sein.",SEXISM
"Typisch für einen Schwulen, so dumm zu sein.",SEXISM
"Typisch für einen Schwarzen, so dumm zu sein.",RACISM
"Typisch für einen Behinderten, so dumm zu sein.",HATESPEECH
"Typisch für einen Juden, so dumm zu sein.",RACISM
"Typisch für einen Flüchtling, so dumm zu sein.",RACISM
Frauen sind definitiv die dümmsten Menschen auf diesem Planeten.,SEXISM
Transmenschen sind definitiv die dümmsten Menschen auf diesem Planeten.,SEXISM
Schwule sind definitiv die dümmsten Menschen auf diesem Planeten.,SEXISM
Schwarze sind definitiv die dümmsten Menschen auf diesem Planeten.,RACISM
Behinderte sind definitiv die dümmsten Menschen auf diesem Planeten.,HATESPEECH
Juden sind definitiv die dümmsten Menschen auf diesem Planeten.,RACISM
Flüchtlinge sind definitiv die dümmsten Menschen auf diesem Planeten.,RACISM
"Es ist immer die Frau, die die Blöde ist.",SEXISM
"Es ist immer der Transmensch, der der Blöde ist.",SEXISM
"Es ist immer der Schwule, der der Blöde ist.",SEXISM
"Es ist immer der Schwarze, der der Blöde ist.",RACISM
"Es ist immer der Behinderte, der der Blöde ist.",HATESPEECH
"Es ist immer der Jude, der der Blöde ist.",RACISM
"Es ist immer der Flüchtling, der der Blöde ist.",RACISM
Frauen sind einfach die blödesten Menschen.,SEXISM
Transmenschen sind einfach die blödesten Menschen.,SEXISM
Schwule sind einfach die blödesten Menschen.,SEXISM
Schwarze sind einfach die blödesten Menschen.,RACISM
Behinderte sind einfach die blödesten Menschen.,HATESPEECH
Juden sind einfach die blödesten Menschen.,RACISM
Flüchtlinge sind einfach die blödesten Menschen.,RACISM
Frauen sind wirklich ausnahmslos hirnlos.,SEXISM
Transmenschen sind wirklich ausnahmslos hirnlos.,SEXISM
Schwule sind wirklich ausnahmslos hirnlos.,SEXISM
Schwarze sind wirklich ausnahmslos hirnlos.,RACISM
Behinderte sind wirklich ausnahmslos hirnlos.,HATESPEECH
Juden sind wirklich ausnahmslos hirnlos.,RACISM
Flüchtlinge sind wirklich ausnahmslos hirnlos.,RACISM
Frauen sind Abschaum.,SEXISM
Transmenschen sind Abschaum.,SEXISM
Schwule sind Abschaum.,SEXISM
Schwarze sind Abschaum.,RACISM
Behinderte sind Abschaum.,HATESPEECH
Juden sind Abschaum.,RACISM
Flüchtlinge sind Abschaum.,RACISM
Frauen sind wertloser Dreck.,SEXISM
Transmenschen sind wertloser Dreck.,SEXISM
Schwule sind wertloser Dreck.,SEXISM
Schwarze sind wertloser Dreck.,RACISM
Behinderte sind wertloser Dreck.,HATESPEECH
Juden sind wertloser Dreck.,RACISM
Flüchtlinge sind wertloser Dreck.,RACISM
Frauen wie ihr seid nur Schmutz.,SEXISM
Transmenschen wie ihr seid nur Schmutz.,SEXISM
Schwule wie ihr seid nur Schmutz.,SEXISM
Schwarze wie ihr seid nur Schmutz.,RACISM
Behinderte wie ihr seid nur Schmutz.,HATESPEECH
Juden wie ihr seid nur Schmutz.,RACISM
Flüchtlinge wie ihr seid nur Schmutz.,RACISM
Ihr Frauen seid auch nur Müll.,SEXISM
Ihr Transmenschen seid auch nur Müll.,SEXISM
Ihr Schwulen seid auch nur Müll.,SEXISM
Ihr Schwarzen seid auch nur Müll.,RACISM
Ihr Behinderten seid auch nur Müll.,HATESPEECH
Ihr Juden seid auch nur Müll.,RACISM
Ihr Flüchtlinge seid auch nur Müll.,RACISM
Frauen sind nichts als Abfall.,SEXISM
Transmenschen sind nichts als Abfall.,SEXISM
Schwule sind nichts als Abfall.,SEXISM
Schwarze sind nichts als Abfall.,RACISM
Behinderte sind nichts als Abfall.,HATESPEECH
Juden sind nichts als Abfall.,RACISM
Flüchtlinge sind nichts als Abfall.,RACISM
Frauen sind Parasiten.,SEXISM
Transmenschen sind Parasiten.,SEXISM
Schwule sind Parasiten.,SEXISM
Schwarze sind Parasiten.,RACISM
Behinderte sind Parasiten.,HATESPEECH
Juden sind Parasiten.,RACISM
Flüchtlinge sind Parasiten.,RACISM
Diese Frauen sind einfach nur Schmarotzer.,SEXISM
Diese Transmenschen sind einfach nur Schmarotzer.,SEXISM
Diese Schwulen sind einfach nur Schmarotzer.,SEXISM
Diese Schwarzen sind einfach nur Schmarotzer.,RACISM
Diese Behinderten sind einfach nur Schmarotzer.,HATESPEECH
Diese Juden sind einfach nur Schmarotzer.,RACISM
Diese Flüchtlinge sind einfach nur Schmarotzer.,RACISM
Frauen sind menschlicher Abfall.,SEXISM
Transmenschen sind menschlicher Abfall.,SEXISM
Schwule sind menschlicher Abfall.,SEXISM
Schwarze sind menschlicher Abfall.,RACISM
Behinderte sind menschlicher Abfall.,HATESPEECH
Juden sind menschlicher Abfall.,RACISM
Flüchtlinge sind menschlicher Abfall.,RACISM
Frauen sind keine richtigen Menschen.,SEXISM
Transmenschen sind keine richtigen Menschen.,SEXISM
Schwule sind keine richtigen Menschen.,SEXISM
Schwarze sind keine richtigen Menschen.,RACISM
Behinderte sind keine richtigen Menschen.,HATESPEECH
Juden sind keine richtigen Menschen.,RACISM
Flüchtlinge sind keine richtigen Menschen.,RACISM
Frauen sind eine Plage.,SEXISM
Transmenschen sind eine Plage.,SEXISM
Schwule sind eine Plage.,SEXISM
Schwarze sind eine Plage.,RACISM
Behinderte sind eine Plage.,HATESPEECH
Juden sind eine Plage.,RACISM
Flüchtlinge sind eine Plage.,RACISM
Frauen wie du sind nichts besseres als Ratten.,SEXISM
Transmenschen wie du sind nichts besseres als Ratten.,SEXISM
Schwule wie du sind nichts besseres als Ratten.,SEXISM
Schwarze wie du sind nichts besseres als Ratten.,RACISM
Behinderte wie du sind nichts besseres als Ratten.,HATESPEECH
Juden wie du sind nichts besseres als Ratten.,RACISM
Flüchtlinge wie du sind nichts besseres als Ratten.,RACISM
Das Leben von Frauen ist wertlos.,SEXISM
Das Leben von Transmenschen ist wertlos.,SEXISM
Das Leben von Schwulen ist wertlos.,SEXISM
Das Leben von Schwarzen ist wertlos.,RACISM
Das Leben von Behinderten ist wertlos.,HATESPEECH
Das Leben von Juden ist wertlos.,RACISM
Das Leben von Flüchtlingen ist wertlos.,RACISM
Die Leben von Frauen sind absolut nichts wert.,SEXISM
Die Leben von Transmenschen sind absolut nichts wert.,SEXISM
Die Leben von Schwulen sind absolut nichts wert.,SEXISM
Die Leben von Schwarzen sind absolut nichts wert.,RACISM
Die Leben von Behinderten sind absolut nichts wert.,HATESPEECH
Die Leben von Juden sind absolut nichts wert.,RACISM
Die Leben von Flüchtlingen sind absolut nichts wert.,RACISM
Frauen sind Ungeziefer.,SEXISM
Transmenschen sind Ungeziefer.,SEXISM
Schwule sind Ungeziefer.,SEXISM
Schwarze sind Ungeziefer.,RACISM
Behinderte sind Ungeziefer.,HATESPEECH
Juden sind Ungeziefer.,RACISM
Flüchtlinge sind Ungeziefer.,RACISM
Frauen sind reine Platzverschwendung.,SEXISM
Transmenschen sind reine Platzverschwendung.,SEXISM
Schwule sind reine Platzverschwendung.,SEXISM
Schwarze sind reine Platzverschwendung.,RACISM
Behinderte sind reine Platzverschwendung.,HATESPEECH
Juden sind reine Platzverschwendung.,RACISM
Flüchtlinge sind reine Platzverschwendung.,RACISM
Frauen sind ein Virus.,SEXISM
Transmenschen sind ein Virus.,SEXISM
Schwule sind ein Virus.,SEXISM
Schwarze sind ein Virus.,RACISM
Behinderte sind ein Virus.,HATESPEECH
Juden sind ein Virus.,RACISM
Flüchtlinge sind ein Virus.,RACISM
Frauen sind schlimmer als Krebs.,SEXISM
Transmenschen sind schlimmer als Krebs.,SEXISM
Schwule sind schlimmer als Krebs.,SEXISM
Schwarze sind schlimmer als Krebs.,RACISM
Behinderte sind schlimmer als Krebs.,HATESPEECH
Juden sind schlimmer als Krebs.,RACISM
Flüchtlinge sind schlimmer als Krebs.,RACISM
Du und alle anderen Frauen sind eine Plage für unsere Gesellschaft.,SEXISM
Du und alle anderen Transmenschen sind eine Plage für unsere Gesellschaft.,SEXISM
Du und alle anderen Schwulen sind eine Plage für unsere Gesellschaft.,SEXISM
Du und alle anderen Schwarzen sind eine Plage für unsere Gesellschaft.,RACISM
Du und alle anderen Behinderten sind eine Plage für unsere Gesellschaft.,HATESPEECH
Du und alle anderen Juden sind eine Plage für unsere Gesellschaft.,RACISM
Du und alle anderen Flüchtlinge sind eine Plage für unsere Gesellschaft.,RACISM
Frauen sind Untermenschen.,SEXISM
Transmenschen sind Untermenschen.,SEXISM
Schwule sind Untermenschen.,SEXISM
Schwarze sind Untermenschen.,RACISM
Behinderte sind Untermenschen.,HATESPEECH
Juden sind Untermenschen.,RACISM
Flüchtlinge sind Untermenschen.,RACISM
Schwärme von Frauen unterwandern unsere Regierung.,SEXISM
Schwärme von Transmenschen unterwandern unsere Regierung.,SEXISM
Schwärme von Schwulen unterwandern unsere Regierung.,SEXISM
Schwärme von Schwarzen unterwandern unsere Regierung.,RACISM
Schwärme von Behinderten unterwandern unsere Regierung.,HATESPEECH
Schwärme von Juden unterwandern unsere Regierung.,RACISM
Schwärme von Flüchtlingen unterwandern unsere Regierung.,RACISM
Frauen gehören in einen Zoo.,SEXISM
Transmenschen gehören in einen Zoo.,SEXISM
Schwule gehören in einen Zoo.,SEXISM
Schwarze gehören in einen Zoo.,RACISM
Behinderte gehören in einen Zoo.,HATESPEECH
Juden gehören in einen Zoo.,RACISM
Flüchtlinge gehören in einen Zoo.,RACISM
"Frauen, die krank sind, sollten zu einem Tierarzt gebracht werden, nicht zu einem Arzt.",SEXISM
"Transmenschen, die krank sind, sollten zu einem Tierarzt gebracht werden, nicht zu einem Arzt.",SEXISM
"Schwule, die krank sind, sollten zu einem Tierarzt gebracht werden, nicht zu einem Arzt.",SEXISM
"Schwarze, die krank sind, sollten zu einem Tierarzt gebracht werden, nicht zu einem Arzt.",RACISM
"Behinderte, die krank sind, sollten zu einem Tierarzt gebracht werden, nicht zu einem Arzt.",HATESPEECH
"Juden, die krank sind, sollten zu einem Tierarzt gebracht werden, nicht zu einem Arzt.",RACISM
"Flüchtlinge, die krank sind, sollten zu einem Tierarzt gebracht werden, nicht zu einem Arzt.",RACISM
Mein Hund ist schlauer als jede Frau jemals sein könnte.,SEXISM
Mein Hund ist schlauer als jeder Transmensch jemals sein könnte.,SEXISM
Mein Hund ist schlauer als jeder Schwule jemals sein könnte.,SEXISM
Mein Hund ist schlauer als jeder Schwarze jemals sein könnte.,RACISM
Mein Hund ist schlauer als jeder Behinderte jemals sein könnte.,HATESPEECH
Mein Hund ist schlauer als jeder Jude jemals sein könnte.,RACISM
Mein Hund ist schlauer als jeder Flüchtling jemals sein könnte.,RACISM
Dieser Affe ist schlauer als all ihr Frauen zusammen.,SEXISM
Dieser Affe ist schlauer als all ihr Transmenschen zusammen.,SEXISM
Dieser Affe ist schlauer als all ihr Schwulen zusammen.,SEXISM
Dieser Affe ist schlauer als all ihr Schwarzen zusammen.,RACISM
Dieser Affe ist schlauer als all ihr Behinderten zusammen.,HATESPEECH
Dieser Affe ist schlauer als all ihr Juden zusammen.,RACISM
Dieser Affe ist schlauer als all ihr Flüchtlinge zusammen.,RACISM
Frauen sollten auf einer Mülldeponie entsorgt werden.,SEXISM
Transmenschen sollten auf einer Mülldeponie entsorgt werden.,SEXISM
Schwule sollten auf einer Mülldeponie entsorgt werden.,SEXISM
Schwarze sollten auf einer Mülldeponie entsorgt werden.,RACISM
Behinderte sollten auf einer Mülldeponie entsorgt werden.,HATESPEECH
Juden sollten auf einer Mülldeponie entsorgt werden.,RACISM
Flüchtlinge sollten auf einer Mülldeponie entsorgt werden.,RACISM
"Ich würde niemals etwas essen, das von Frauen berührt wurde.",SEXISM
"Ich würde niemals etwas essen, das von Transmenschen berührt wurde.",SEXISM
"Ich würde niemals etwas essen, das von Schwulen berührt wurde.",SEXISM
"Ich würde niemals etwas essen, das von Schwarzen berührt wurde.",RACISM
"Ich würde niemals etwas essen, das von Behinderten berührt wurde.",HATESPEECH
"Ich würde niemals etwas essen, das von Juden berührt wurde.",RACISM
"Ich würde niemals etwas essen, das von Flüchtlingen berührt wurde.",RACISM
Der Dreck unter meinen Schuhen ist mehr Wert als die meisten Frauen.,SEXISM
Der Dreck unter meinen Schuhen ist mehr Wert als die meisten Transmenschen.,SEXISM
Der Dreck unter meinen Schuhen ist mehr Wert als die meisten Schwulen.,SEXISM
Der Dreck unter meinen Schuhen ist mehr Wert als die meisten Schwarzen.,RACISM
Der Dreck unter meinen Schuhen ist mehr Wert als die meisten Behinderten.,HATESPEECH
Der Dreck unter meinen Schuhen ist mehr Wert als die meisten Juden.,RACISM
Der Dreck unter meinen Schuhen ist mehr Wert als die meisten Flüchtlinge.,RACISM
Das Leben eines jeden Insekts ist wertvoller als das eines Transmenschen.,SEXISM
Das Leben eines jeden Insekts ist wertvoller als das eines Schwulen.,SEXISM
Das Leben eines jeden Insekts ist wertvoller als das eines Schwarzen.,RACISM
Das Leben eines jeden Insekts ist wertvoller als das eines Behinderten.,HATESPEECH
Das Leben eines jeden Insekts ist wertvoller als das eines Juden.,RACISM
Das Leben eines jeden Insekts ist wertvoller als das eines Flüchtlings.,RACISM
Das Leben eines jeden Insekts ist wertvoller als das einer Transmenschen.,SEXISM
Das Leben eines jeden Insekts ist wertvoller als das einer Schwulen.,SEXISM
Das Leben eines jeden Insekts ist wertvoller als das einer Schwarzen.,RACISM
